n-seri,n-para,result,finished soc,pack weight kg,DOD,max cell voltage,min cell voltage,total loss wh
186,3,Passed,49.64673020645949,55.8,3.7757359246965265,3.6744269420708955,3.425366285696711,40.24503748074311
184,3,Passed,49.640321131947225,55.2,3.818172098733534,3.675360032666366,3.423512613843394,40.7052748708549
182,3,Passed,49.633711627576666,54.6,3.8615746688530805,3.6763131971650496,3.4216157841228854,41.17622467965558
180,3,Passed,49.62689290491804,54.0,3.9059770877912072,3.6772870907096653,3.4196742689401916,41.658267551328706
178,3,Passed,49.61985568085234,53.4,3.95141437334005,3.6782823972790633,3.4176864676115604,42.15180248734907
176,3,Passed,49.61259014101366,52.8,3.997923201146513,3.6792998312931644,3.415650701931584,42.65724796758181
174,3,Passed,49.60508590388031,52.2,4.045542004207974,3.6803401393263626,3.413565211413021,43.175043163332795
172,3,Passed,49.597331980659284,51.6,4.094311079636597,3.6814041019380226,3.4114281481707276,43.70564923977942
170,3,Passed,49.58931672957563,51.0,4.144272703321484,3.6824925356295286,3.4092375714181937,44.24955075397245
168,3,Passed,49.5810278129288,50.4,4.195471253179811,3.683606294938228,3.4069914415419396,44.80725717571199
166,3,Passed,49.57245213921081,49.8,4.247953341759114,3.684746274679549,3.4046876137154163,45.37930450523494
164,3,Passed,49.56357581294413,49.2,4.301767959031913,3.6859134123497053,3.402323831009998,45.966257046960045
162,3,Passed,49.5543840719557,48.6,4.356966626309564,3.6871086907025674,3.39989771695613,46.568738715416515
160,3,Passed,49.544861217934155,48.0,4.413603562303479,3.6883331405156126,3.39740676750261,47.18735703958468
158,3,Passed,49.53499054652972,47.4,4.4717358624685914,3.6895878435613505,3.394848342316216,47.82276620760745
156,3,Passed,49.52475426845325,46.8,4.531423692890087,3.690873935802275,3.3922196553575636,48.475664658718095
154,3,Passed,49.51413342209881,46.2,4.592730500111436,3.692192610829208,3.3895177646616594,49.146790408078374
152,3,Passed,49.50310777859567,45.6,4.655723238460219,3.6935451235649626,3.3867395612435476,49.836923910428986
150,3,Passed,49.491655737695346,45.0,4.720472616602194,3.6949327942575483,3.3838817570401134,50.54689117773091
148,3,Passed,49.47975421346349,44.4,4.787053365255467,3.696357012789661,3.3809408717885674,51.27756717764244
146,3,Passed,49.46737850861097,43.8,4.855544528221763,3.6978192433341404,3.3779132187302423,52.02987954298538
144,3,Passed,49.45450217614852,43.2,4.926029779146745,3.6993210293882126,3.3747948890147006,52.80481262613565
142,3,Passed,49.44109686687001,42.6,4.99859776671358,3.7008639992230243,3.3715817346636796,53.60341193659869
140,3,Passed,49.427132160972306,42.0,5.073342491303251,3.702449871789004,3.368269349936723,54.426789004986155
138,3,Passed,49.41257538188277,41.4,5.150363716534699,3.7040804631222093,3.36485305092005,55.2761267223116
136,3,Passed,49.39739139010027,40.8,5.229767419524592,3.705757693301968,3.361327853137072,56.152685210079284
